ID,Requirement,Description
FR-001,"The system shall allow users to send, receive, and delete e-mail and attachments.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-002,"The system shall allow users to reply to e-mail and attachments.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-003,"The system shall allow users to forward e-mail and attachments.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-004,"The system shall allow users to print e-mail messages.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-005,"The system shall allow users to customize e-mail messages using word processor-like formatting features.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-006,"The system shall allow users to establish rules, including auto reply, out of office reply, temporary transfer, and moving files to inbox folders.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-007,"The system shall provide spell check functionality for users.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-008,"The system shall allow users to organize content into personal folders or similar storage mechanisms for e-mail retrieval.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-009,"The system shall allow agency administrators to migrate existing public folders into the statewide e-mail system.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-010,"The system shall allow agency administrators to create and manage public folders or similar storage mechanisms for sharing information within their agency or organization.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-011,"The system shall allow users to create contact lists, including importing contacts from other sources.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-012,"The system shall allow users to export contact lists.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-013,"The system shall allow users to share contact lists and the address book.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-014,"The system shall allow agency administrators to create and share distribution lists, including query-based lists from LDAP-like directory services.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-015,"The system shall allow users to create calendars and customize calendar views.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-016,"The system shall allow users to schedule resources, such as conference rooms and teleconference rooms.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-017,"The system shall allow users to create reminders and tasks.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-018,"The system shall allow agency administrators to accommodate programmer testing of e-mail functionality embedded in software applications.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-019,"The system shall allow users to share their inbox, calendar, and files with other users, given appropriate permissions.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-020,"The system shall allow users to delegate their permissions to another user.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-021,"The system shall allow users to embed links to files and websites in e-mails.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-022,"The system shall allow agency administrators to provision e-mail accounts for their organization, including integrating provisioning with LDAP-like directory services.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-023,"The system shall allow users to search for e-mails based on age, size, sender, recipient, subject, key word, and attachment content.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
