Order,ID,Requirement,Cost,Risk,Value,Reasoning
"1","FR-006","The system must display a Main Menu component.",3,2,5,"Foundation navigation to access core gameplay; low cost/risk makes it an ideal starting point."
"2","FR-007","The Main Menu component must wait until the user selects a button.",4,2,5,"Essential interaction behavior to enable progression; complements FR-006."
"3","FR-008","The Main Menu must forward the user to game components.",3,3,5,"Enables access to gameplay and external link; required before core value delivery."
"4","FR-010","Display question and wait for answer.",3,2,5,"Core interaction mechanic; prerequisite for delivering learning value."
"5","FR-011","Success message and proceed to next question.",3,2,5,"Delivers core feedback loop; low cost and risk."
"6","FR-012","Incorrect answer feedback with retry.",5,4,7,"Higher value gameplay mechanic; should follow base question workflow."
"7","FR-009","Present storyline-based fraction questions.",6,8,9,"Highest value feature enabling learning goals; built on previous mechanics to mitigate risk."
"8","FR-013","Dynamic plot based on performance.",5,8,9,"High value and high risk; placed after core gameplay is stable."
"9","FR-022","Score kept locally.",3,2,5,"Required for scoring in ending scenes; low risk."
"10","FR-014","Direct to Ending Scene after question set.",5,5,6,"Unlocks completion flow; depends on gameplay loop."
"11","FR-015","Display user’s overall score.",3,3,6,"Delivers important feedback; built on FR-022."
"12","FR-016","Plot conclusion based on performance.",5,8,7,"Higher risk but meaningful value; placed after core and scoring logic."
"13","FR-017","Exit or return to Main Menu.",3,2,4,"Completes ending UX; low cost and risk."
"14","FR-003","Play introductory movie.",5,4,7,"Adds narrative value but not foundational; implemented after core gameplay paths."
"15","FR-004","Skip intro on click.",3,2,5,"Enhances UX; depends on FR-003."
"16","FR-005","Auto-continue intro to menu.",3,2,5,"Completes intro experience; low risk addition."
"17","FR-001","Provide singular Math Umbrella component online.",4,3,7,"Useful entry point but not required for initial playable flow; medium value."
"18","FR-002","Open S2S product in separate window.",4,5,3,"Lower value and higher risk; deprioritized to avoid early stability issues."
"19","FR-018","Web-accessible Question Updater tool.",5,8,9,"High value for maintainability but high risk; delivered after core gameplay complete."
"20","FR-019","Web forms for question updates.",5,4,7,"Enhances admin usability; depends on FR-018."
"21","FR-020","Validate question data.",5,7,6,"Risky but important quality control; follows FR-019."
"22","FR-021","Generate server text file for dynamic loading.",5,7,6,"Completes updater pipeline; delivered last to mitigate accumulated risk."
