"Order","ID","Requirement","Cost","Risk","Value","Reasoning"
"1","FR-001","Support smart card technology for access control",5,7,8,"Foundational enabler for all smart-card and access-related functionality; high value with moderate cost."
"2","FR-029","Map user identity to UPI (UCL Person Identifier), including group memberships and roles",8,9,8,"Core identity backbone required for access rights and integrations despite higher cost and risk."
"3","FR-025","Implement a role-based method to grant access rights",7,9,8,"Critical dependency for automatic provisioning and centralized access control governance."
"4","FR-033","Import data from staff and student systems",6,7,7,"Required to populate card identity and access rights; medium cost and high unblocker."
"5","FR-031","Export data to the library",6,5,7,"Supports key library interactions and reduces operational gaps; dependency for integrated card use."
"6","FR-030","Export data to the student system",6,7,7,"Enables consistent student record updates; delivers operational alignment early."
"7","FR-032","Export data to the staff system",5,4,7,"Complements identity and permissions sync; moderate value and low comparative risk."
"8","FR-006","Control access to library areas",7,8,8,"High-value access functionality and dependency for consolidated card library usage."
"9","FR-009","Control access to departments",6,7,7,"High-usage area access; supports core project outcomes and security expectations."
"10","FR-014","Use the same access control mechanism for library entrance",5,7,8,"Directly contributes to main project goal of consolidation; moderate effort."
"11","FR-015","Integrate ID card and session card functions into one card",8,9,9,"Highest value consolidation feature; placed after base access and identity enablers."
"12","FR-016","Integrate Library card function into one card",6,8,9,"Major target outcome; sequencing ensures foundation is in place to mitigate integration risk."
"13","FR-017","Integrate Bloomsbury fitness card function into one card",7,8,9,"High-value expansion once core integrated card features are operating."
"14","FR-026","Integrate with the Bloomsbury system (Gladstone MRM)",6,7,8,"Unblocks specific fitness center and facility usage; medium-high value."
"15","FR-027","Integrate with library systems",7,9,8,"High risk and high value; required to realize benefits of card consolidation in libraries."
"16","FR-028","Handle compatibility with library barcodes",5,4,7,"Supports a smooth transition to the new system; lower risk so scheduled after major integrations."
"17","FR-002","Automatically provision access rights",6,7,7,"Builds on identity foundation and improves operational efficiency; medium value and risk."
"18","FR-003","Automatically suspend access rights",8,9,7,"Important for security with high risk; placed after auto-provisioning to avoid stacking risks early."
"19","FR-004","Automatically provision library borrowing rights",6,8,7,"Follows library integration; improves automation and user experience."
"20","FR-005","Automatically suspend library borrowing rights",8,9,7,"Risky operational automation but necessary for full lifecycle management."
"21","FR-010","Control access to computer clusters",7,8,7,"Security-critical spaces but scheduled after broader access coverage to avoid risk clustering."
"22","FR-039","Allow the card to be used for computer logon",5,7,8,"Improves user experience and reduces credential fragmentation; high value but depends on core integrations."
"23","FR-038","Support payment mechanism functionality",5,4,7,"Enhances adoption and utility; scheduled mid-roadmap due to non-critical nature."
"24","FR-040","Control access to Bloomsbury facilities",6,7,7,"Adds additional coverage to extended facilities; follows platform stabilization."
"25","FR-041","Control access to high hazard areas",8,9,7,"High impact if failed; placed later while operational maturity increases."
"26","FR-042","Control access to Kathleen Lonsdale",7,6,7,"Location-specific extension; value moderate and low dependency impact."
"27","FR-043","Control access to private offices",6,7,7,"Expands fine-grained access; moderate priority and complexity."
"28","FR-044","Control access to rooms",6,8,7,"Similar to offices but broader; positioned after core environments are supported."
"29","FR-023","Allow viewing and modification of access rights and time of access online without the physical card present",8,9,7,"Very high risk, high security sensitivity; implemented once access lifecycle is validated."
"30","FR-024","Allow activation and inactivation of the card",4,5,4,"Operational support function that enhances management but with lower value."
"31","FR-035","Allow viewing of data from any computer",5,4,7,"Administrative productivity improvement; moderate risk-value balance."
"32","FR-036","Allow updating/deleting of data remotely",6,7,7,"Supports decentralized administration once core data flows are stable."
"33","FR-020","Track movement logs in buildings other than the library",5,4,5,"Security enhancement but less crucial to core MVP scope."
"34","FR-021","The system must track movement logs in the library",1,6,5,"Low cost tracking with moderate value; scheduled after primary access stabilization."
"35","FR-008","Generate reports",6,5,7,"Operational insights and compliance support; follows data maturity."
"36","FR-018","Integrate Club and societies card function into one card",7,7,8,"Moderate value enhancement; added after main functional areas."
"37","FR-019","Integrate National Health Service (NHS) card function into one card",8,9,7,"High complexity external integration; late roadmap reduces impact on core delivery."
"38","FR-022","Enable the card to be used to mark attendance",3,2,5,"Adds convenience in niche scenarios; low complexity so scheduled later."
"39","FR-037","Allow data entry",5,4,5,"Administrative form-based capability with moderate business impact."
"40","FR-045","Enable photo visual checks",3,2,5,"Security support feature; low cost and risk justify late but easy addition."
"41","FR-046","Enable visual checking of the cardholder's role",5,7,6,"Enhances on-sight validation; moderate-low priority."
"42","FR-048","Display photo on the card",4,5,7,"Supports human validation and trust; dependent on identity and print features."
"43","FR-049","Display UPI (UCL Person Identifier) on the card",7,3,8,"High value but waits until card platform and identity mapping stable."
"44","FR-012","Display the card type and user status on the card",3,2,5,"Small UI enhancement; benefit gained once most features are active."
"45","FR-013","Support direct printing on both sides of the card",3,2,4,"Minor usability feature; scheduled after main functional rollout."
"46","FR-011","Display the PRN (student number) on the card",2,2,3,"Very low cost and low value; scheduled late."
"47","FR-047","Display name on the card",3,2,4,"Simple improvement to card usability; timed after consolidation achieved."
"48","FR-007","Support new cards for use at the Bloomsbury Fitness Centre",5,7,7,"Earlier integrations supersede physical card support; completing physical rollout last."
"49","FR-050","Enable security/reception staff to validate the cardholder's identity",6,8,7,"Useful but reliant on prior access control and visual identity features; last for stabilization cleanup."
